INSERT INTO `genshin_farming_002`.`personnages` 
(`id_personnage`, `nom_personnage`, `rarete_personnage`, `type_arme_personnage`, `type_personnage`, `image_personnage`, `image_rarete`,`image_type_arme`,`image_type`)
VALUES
1,Amber,4,bow,pyro,amber.webp,NULL,bow.webp,pyro.webp
2,Kaeya,4,sword,cryo,kaeya.webp,NULL,sword.webp,cryo.webp
3,Lisa,4,catalyst,electro,lisa.webp,NULL,catalyst.webp,electro.webp
4,Barbara,4,catalyst,hydro,barbara.webp,NULL,catalyst.webp,hydro.webp
5,Razor,4,claymore,electro,razor.webp,NULL,claymore.webp,electro.webp
6,Xiangling,4,polearm,pyro,xiangling.webp,NULL,polearm.webp,pyro.webp
7,Beidou,4,claymore,electro,beidou.webp,NULL,claymore.webp,electro.webp
8,Xingqiu,4,sword,hydro,xingqiu.webp,NULL,sword.webp,hydro.webp
9,Ningguang,4,catalyst,geo,ningguang.webp,NULL,catalyst.webp,geo.webp
10,Fischl,4,bow,electro,fischl.webp,NULL,bow.webp,electro.webp
11,Bennett,4,sword,pyro,bennett.webp,NULL,sword.webp,pyro.webp
12,Noëlle,4,claymore,geo,noelle.webp,NULL,claymore.webp,geo.webp
13,Chongyun,4,claymore,cryo,chongyun.webp,NULL,claymore.webp,cryo.webp
14,Sucrose,4,catalyst,anemo,sucrose.webp,NULL,catalyst.webp,anemo.webp
15,Jean,5,sword,anemo,jean.webp,NULL,sword.webp,anemo.webp
16,Diluc,5,claymore,pyro,diluc.webp,NULL,claymore.webp,pyro.webp
17,Qiqi,5,sword,cryo,qiqi.webp,NULL,sword.webp,cryo.webp
18,Mona,5,catalyst,hydro,mona.webp,NULL,catalyst.webp,hydro.webp
19,Keqing,5,sword,electro,keqing.webp,NULL,sword.webp,electro.webp
20,Venti,5,bow,anemo,venti.webp,NULL,bow.webp,anemo.webp
21,Klee,5,catalyst,pyro,klee.webp,NULL,catalyst.webp,pyro.webp
22,Diona,4,bow,cryo,diona.webp,NULL,bow.webp,cryo.webp
23,Tartaglia,5,bow,hydro,tartaglia.webp,NULL,bow.webp,hydro.webp
24,Xinyan,4,claymore,pyro,xinyan.webp,NULL,claymore.webp,pyro.webp
25,Zhongli,5,polearm,geo,zhongli.webp,NULL,polearm.webp,geo.webp
26,Albedo,5,sword,geo,albedo.webp,NULL,sword.webp,geo.webp
27,Ganyu,5,bow,cryo,ganyu.webp,NULL,bow.webp,cryo.webp
